Instance;AlgorithmA;AlgorithmD;AlgorithmE;AlgorithmB;AlgorithmC
InstanceA;0.9870239272840703;0.8586541306144955;0.7483754183312249;0.9460876645631585;0.9142093608920682
InstanceB;0.9933299496234664;0.955461804201654;0.9196802206347444;0.9602091850710438;0.9565346280342771
InstanceC;0.851529066971328;0.8220539129550076;0.6777895545712488;0.8082629948338717;0.8195424723825
InstanceD;0.9884617804798841;0.9709331529321193;0.9619046457182906;0.974816253606271;0.9712912177725226
InstanceE;0.9970859054455612;0.9719067938974405;0.9671703722549804;0.9804411522577947;0.9804663457409087
InstanceF;0.9456478634789749;0.9062488436368212;0.8635292468630614;0.9095542526209485;0.9161328471226154
InstanceG;0.9914196978593075;0.9744569093735439;0.9743264893622912;0.9822301169536856;0.9748349260533412
InstanceH;0.9888188273513628;0.9874776305313381;0.989742760110403;0.98810154079278;0.9901884753044108
InstanceI;0.5346026688308017;0.4786690103729173;0.4786713546389924;0.47952783161640217;0.47911231233022833
InstanceJ;0.9150253335347508;0.9144825267582812;0.9144799748566078;0.9144766843118507;0.9144914632395048
InstanceL;0.9918428143894288;0.9903151536899167;0.9903136943160067;0.9903259768334352;0.9903297986450272
